web-scraper-order,web-scraper-start-url,data,image-src,name
"1761510349-28","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d767325c-82af-493a-ad24-1bde619f2010.png","באבא יאגה"
"1761510349-29","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/0570aef1-8c00-4f58-bd2f-6744ba791530.jpg","בוצרי אחוזת בשר"
"1761510349-30","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/5e394d22-3501-4c3d-92a9-626ef23251a1.png","בוצ'רי דה ברילוצ'ה"
"1761510349-31","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/1d111302-3da9-402d-8fda-1eccaefe98be.png","ביגה"
"1761510349-32","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/f57da78d-8cdb-419d-aca6-6e95dce68545.png","ברד אנד ברקפסט"
"1761510349-33","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/fe64f6d2-2644-4ada-9140-3570fa6b5adc.jpg","חוות התבלינים בגלבוע"
"1761510349-34","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/9b64eb42-1d2b-4642-b3e1-15103984b7f5.jpg","סינטה מסעדת בשרים"
"1761510349-35","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/a83b0875-55c2-444c-951e-e28c38980bcb.jpg","סקובר"
"1761510349-36","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/78056090-548b-4f94-919e-7116b2397068.jpg","קפה נמרוד  אגמון מרקט"
"1761510349-37","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/ea881de8-acb5-49fc-8a3f-027ad708f071.png","אווזי"
"1761510349-38","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/2a130bb2-ebfb-4166-92d3-5cd4c93b154e.jpg","איטלקיה בפשפשים"
"1761510349-39","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/6d918f32-1df4-4bf9-8be0-b3a954d63191.jpg","ג'אפן ג'אפן"
"1761510349-40","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/78056090-548b-4f94-919e-7116b2397068.jpg","קפה נמרוד  תל אביב"
"1761510349-41","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/bf4fa5e5-703d-4057-ab97-3c620d47c787.png","פאב 55 אוכל ובירה"
"1761510349-42","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/41ffe9fb-0afc-40c8-8011-ed817f53cc79.jpg","BLACK"
"1761510349-43","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/21fa3f99-1e81-468e-ade2-368a2f5045e0.jpg","אל קפה"
