web-scraper-order,web-scraper-start-url,data,image-src,name
"1761510175-1","https://www.behatsdaa.org.il/card/shops?walletId=3294","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d9a4e4e8-1af7-4526-b591-df717627e978.png","קרפור"
"1761510175-2","https://www.behatsdaa.org.il/card/shops?walletId=3294","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/e0fe950e-279c-43af-a1b5-fbff349294a2.png","מגה בעיר"
"1761510175-3","https://www.behatsdaa.org.il/card/shops?walletId=3294","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/4853751b-6115-4ccf-8cba-8f9a4d99696e.png","יינות ביתן"
"1761510175-4","https://www.behatsdaa.org.il/card/shops?walletId=3294","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/3d8cc430-781b-4c3a-bb84-04619d1e59fa.png","שוק מהדרין"
"1761510175-5","https://www.behatsdaa.org.il/card/shops?walletId=3294","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/00932ede-d20e-4ca5-8eaf-b082327ed6e1.png","ביתן מרקט"
